Timestamp,MetricID,Value,Trend_Mean,Variance,Z_Score,PRB_Limit,ControlActions
1770029656.3977065,DRB.UEThpDl,0.0,0.00,0.00,0.00,100,0
1770029656.3978896,DRB.UEThpUl,0.0,0.00,0.00,0.00,100,0
1770029657.3972938,DRB.UEThpDl,0.0,0.00,0.00,0.00,100,0
1770029657.397604,DRB.UEThpUl,0.0,0.00,0.00,0.00,100,0
1770029658.397323,DRB.UEThpDl,0.0,0.00,0.00,0.00,100,0
1770029658.3976345,DRB.UEThpUl,0.0,0.00,0.00,0.00,100,0
1770029659.3988116,DRB.UEThpDl,10.0,2.50,18.75,1.73,100,0
1770029659.3993754,DRB.UEThpUl,93.0,23.25,1621.69,1.73,100,0
1770029660.3972902,DRB.UEThpDl,435.0,89.00,29944.00,2.00,100,0
1770029660.3975961,DRB.UEThpUl,18.0,22.20,1301.76,-0.12,100,0
1770029661.3972406,DRB.UEThpDl,35.0,80.00,25358.33,-0.28,100,0
1770029661.397567,DRB.UEThpUl,85.0,32.67,1632.56,1.30,100,0
1770029662.3976421,DRB.UEThpDl,2.0,68.86,22480.69,-0.45,100,0
1770029662.3980176,DRB.UEThpUl,24.0,31.43,1408.53,-0.20,100,0
1770029663.3972445,DRB.UEThpDl,0.0,60.25,20189.19,-0.42,100,0
1770029663.39753,DRB.UEThpUl,0.0,27.50,1340.50,-0.75,100,0
1770029664.3972116,DRB.UEThpDl,0.0,53.56,18304.47,-0.40,100,0
1770029664.3975124,DRB.UEThpUl,0.0,24.44,1266.25,-0.69,100,0
1770029665.397358,DRB.UEThpDl,0.0,48.20,16732.16,-0.37,100,0
1770029665.3976734,DRB.UEThpUl,0.0,22.00,1193.40,-0.64,100,0
1770029666.3974109,DRB.UEThpDl,0.0,43.82,15403.06,-0.35,100,0
1770029666.397717,DRB.UEThpUl,0.0,20.00,1124.91,-0.60,100,0
1770029667.397173,DRB.UEThpDl,0.0,40.17,14266.14,-0.34,100,0
1770029667.3974638,DRB.UEThpUl,0.0,18.33,1061.72,-0.56,100,0
1770029668.3972387,DRB.UEThpDl,0.0,37.08,13283.30,-0.32,100,0
1770029668.397544,DRB.UEThpUl,0.0,16.92,1003.92,-0.53,100,0
1770029669.3973749,DRB.UEThpDl,6.0,34.86,12398.55,-0.26,100,0
1770029669.3977096,DRB.UEThpUl,4.0,16.00,943.29,-0.39,100,0
1770029670.397561,DRB.UEThpDl,0.0,32.53,11647.58,-0.30,100,0
1770029670.397957,DRB.UEThpUl,0.0,14.93,896.33,-0.50,100,0
1770029671.3974183,DRB.UEThpDl,0.0,30.50,10981.62,-0.29,100,0
1770029671.3977728,DRB.UEThpUl,0.0,14.00,853.38,-0.48,100,0
1770029672.3974822,DRB.UEThpDl,0.0,28.71,10387.15,-0.28,100,0
1770029672.3979075,DRB.UEThpUl,0.0,13.18,814.03,-0.46,100,0
1770029673.3972511,DRB.UEThpDl,0.0,27.11,9853.32,-0.27,100,0
1770029673.3975675,DRB.UEThpUl,0.0,12.44,777.91,-0.45,100,0
1770029674.3972857,DRB.UEThpDl,0.0,25.68,9371.37,-0.27,100,0
1770029674.3976269,DRB.UEThpUl,0.0,11.79,744.69,-0.43,100,0
1770029675.3972926,DRB.UEThpDl,0.0,24.40,8934.14,-0.26,100,0
1770029675.3976247,DRB.UEThpUl,0.0,11.20,714.06,-0.42,100,0
1770029676.3977065,DRB.UEThpDl,0.0,24.40,8934.14,-0.26,100,0
1770029676.3981113,DRB.UEThpUl,0.0,11.20,714.06,-0.42,100,0
1770029677.3977942,DRB.UEThpDl,0.0,24.40,8934.14,-0.26,100,0
1770029677.3982105,DRB.UEThpUl,0.0,11.20,714.06,-0.42,100,0
1770029678.3974717,DRB.UEThpDl,0.0,24.40,8934.14,-0.26,100,0
1770029678.3978693,DRB.UEThpUl,0.0,11.20,714.06,-0.42,100,0
1770029679.3971279,DRB.UEThpDl,0.0,23.90,8953.29,-0.25,100,0
1770029679.397419,DRB.UEThpUl,0.0,6.55,364.15,-0.34,100,0
1770029680.3970852,DRB.UEThpDl,0.0,2.15,58.63,-0.28,100,0
1770029680.3973954,DRB.UEThpUl,0.0,5.65,358.93,-0.30,100,0
1770029681.3973045,DRB.UEThpDl,0.0,0.40,1.84,-0.29,100,0
1770029681.3976257,DRB.UEThpUl,0.0,1.40,27.64,-0.27,100,0
1770029682.3973527,DRB.UEThpDl,0.0,0.30,1.71,-0.23,100,0
1770029682.3977273,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,0
1770029683.3973563,DRB.UEThpDl,0.0,0.30,1.71,-0.23,100,0
1770029683.397713,DRB.UEThpUl,0.0,0.20,0.76,-0.23,100,0
1770029684.3973901,DRB.UEThpDl,0.0,0.30,1.71,-0.23,100,0
